,indicativo,nombre_indicativo,start_date,end_date,latitud_dd,longitud_dd,cluster
252,2734D,ASTORGA,2017-01-01,2024-12-31,42.47666666666667,-6.0744444444444445,0
253,2737E,LAGUNAS DE SOMOZA,2017-01-01,2024-12-31,42.3775,-6.196666666666667,0
254,2742R,BUSTILLO DEL PÁRAMO,2017-01-01,2024-12-31,42.46638888888889,-5.779722222222222,0
255,2755X,BENAVENTE,2017-01-01,2024-12-31,42.01083333333333,-5.666666666666667,0
256,2766E,"SANABRIA, ROBLEDA-CERVANTES",2017-01-01,2024-12-31,42.0825,-6.639722222222222,2
257,2775X,VILLARDECIERVOS,2017-01-01,2024-12-31,41.94138888888889,-6.279722222222222,0
258,2777K,SANTIBAÑEZ DE VIDRIALES,2017-01-01,2024-12-31,42.07805555555556,-6.007222222222223,0
259,2789H,POZUELO DE TABARA,2017-01-01,2024-12-31,41.785555555555554,-5.908888888888889,0
260,2804F,VILLADEPERA,2017-01-01,2024-12-31,41.53388888888889,-6.141944444444444,0
261,2811A,NAVARREDONDA DE GREDOS,2017-01-01,2019-12-31,40.35055555555556,-5.143055555555556,2
262,2828Y,BARCO DE AVILA,2017-01-01,2024-12-31,40.35527777777778,-5.519166666666667,0
263,2847X,PEDROSILLO DE LOS AIRES   ,2017-01-01,2024-12-31,40.67555555555556,-5.643333333333333,0
264,2863C,PEDRAZA DE ALBA  ,2017-01-01,2024-12-31,40.73222222222223,-5.366111111111111,0
265,2867,SALAMANCA AEROPUERTO,2017-01-01,2024-12-31,40.95944444444445,-5.498333333333333,0
266,2870,SALAMANCA,2017-01-01,2025-06-11,40.9575,-5.662222222222223,0
267,2873X,BARBADILLO,2017-01-01,2025-06-11,40.90361111111111,-5.779722222222222,0
268,2882D,PEÑAUSENDE,2017-01-01,2025-06-10,41.23888888888889,-5.8975,0
269,2885K,FRESNO DE SAYAGO,2017-01-01,2025-06-11,41.30444444444444,-6.022222222222222,0
270,2891A,VILLARINO DE LOS AIRES,2017-01-01,2025-06-11,41.26277777777778,-6.462222222222223,0
271,2914C,BOADILLA FUENTE SAN ESTEBAN,2016-07-02,2025-06-11,40.78611111111111,-6.202777777777778,0
272,2916A,VITIGUDINO,2017-01-01,2025-06-11,41.01138888888889,-6.437777777777778,0
273,2918Y,EL MAÍLLO,2017-01-01,2025-06-11,40.56944444444445,-6.223611111111111,2
274,2926B,BAÑOBÁREZ,2017-01-01,2025-06-11,40.85138888888889,-6.608888888888888,0
275,2930Y,NAVASFRÍAS,2016-01-01,2025-06-11,40.29666666666667,-6.812777777777778,2
276,2945A,EL BODÓN BASE AÉREA,2016-01-01,2025-06-11,40.485,-6.576944444444444,0
277,2946X,SAELICES EL CHICO,2016-01-01,2025-06-11,40.635,-6.6,0
278,2966D,ALCAÑICES  ,2016-01-01,2025-06-11,41.68333333333333,-6.301388888888889,0
279,2969U,A GUDIÑA,2016-01-01,2024-12-31,42.02722222222222,-7.183055555555556,2
280,2978X,VERÍN,2016-01-01,2024-12-31,41.92666666666666,-7.421944444444445,2
281,3013,MOLINA DE ARAGÓN,2016-01-01,2024-12-31,40.84166666666667,-1.8788888888888888,0
282,3021Y,ZAOREJAS,2016-01-01,2024-12-31,40.75833333333333,-2.199722222222222,0
283,3040Y,BETETA,2016-01-17,2024-10-31,40.57166666666667,-2.0763888888888893,0
284,3044X,CAÑIZARES,2016-01-01,2022-03-30,40.530277777777776,-2.15,2
285,3085Y,PASTRANA,2016-01-01,2024-12-31,40.407777777777774,-2.953055555555556,0
286,3094B,TARANCÓN,2016-01-01,2024-12-31,40.011944444444445,-3.0213888888888887,0
287,3099Y,OCAÑA,2016-01-01,2024-12-31,39.93527777777778,-3.4961111111111114,0
