indicativo,altitud,tmed_mean,tmed_winter,tmed_spring,tmed_summer,tmed_fall,prec_mean,hrMedia_mean,velmedia_mean,longitud_dd,latitud_dd,tmed_range,prec_mean_log,velmedia_mean_log,cluster
6332Y,222,19.874360370858778,13.979431438127092,16.842035163682993,26.17136637674092,20.910391680355147,0.5720706260032102,66.31432681705536,4.479076345821859,-1.9069444444444443,36.94222222222222,12.191934938613828,0.4523936204807638,1.7009365367212637,1
6335O,970,18.28150183150183,10.815573770491802,15.569565217391302,26.535999999999998,17.853846153846153,0.47655677655677653,48.5970695970696,3.1152014652014652,-2.6991666666666667,37.11,15.720426229508195,0.38971287493816037,1.41468779166728,4
6340X,7,19.01329276856273,13.559068219633943,17.104192546583853,25.244548550008105,20.603761853721153,0.5485473684210526,72.76949744701834,4.070086599339601,-1.8166666666666669,37.178888888888885,11.685480330374162,0.43731730983801115,1.6233578981948116,1
6364X,508,19.173601877199843,12.24897151898734,17.187189440993787,27.086335403726707,20.052433281004713,0.5640315362427706,53.270825185764565,3.534434884630426,-2.151388888888889,37.406666666666666,14.837363884739368,0.4472668057579205,1.5117004638135003,4
6367B,300,18.536815796489787,12.079983165120646,16.450465838509313,25.816537267080744,19.692525323811836,0.5737148817285966,47.370442468557776,2.1754881056462008,-1.9436111111111112,37.39055555555556,13.736554101960097,0.45343899110192154,1.1554613545905805,4
6375X,420,17.44839161863551,10.078707758179679,15.585869565217394,25.806065691592554,18.193701350542923,0.8915917090340243,54.93483097319347,3.400313463252406,-4.741944444444444,37.13222222222223,15.727357933412875,0.637418648734007,1.4816757800349238,4
6381,15,16.859906934013356,15.077166525049794,17.097162459997723,23.6687971767401,,0.46907605817277476,63.12667405272068,7.973529411764707,-3.036111111111111,35.93833333333333,8.591630651690306,0.38463367132643644,2.1942790671064625,2
7002Y,32,19.956070287539937,14.15239852398524,17.692028985507246,26.41240942028986,21.48165137614679,0.6555454130534003,55.57097215883159,2.52555910543131,-1.5869444444444445,37.41722222222222,12.260010896304617,0.5041305092528442,1.2600390351566377,1
7007Y,66,20.257393209200437,14.169844789356983,17.883913043478262,27.120869565217394,21.752087912087912,0.6536692223439211,64.54271631982475,3.2241785323110626,-1.2305555555555556,37.58805555555556,12.951024775860411,0.502996590110556,1.4408248116828974,1
7012C,17,19.63268704379562,13.542158671586716,17.16286231884058,26.443840579710145,21.289560439560436,0.8357664233576643,66.96076642335767,1.8724476412426052,-0.9877777777777778,37.60111111111111,12.901681908123429,0.607462063711669,1.0551645029828667,1
7012D,56,18.72385125532923,12.478367346938775,16.140761904761906,25.43566243194192,20.041651376146792,0.9596399810516343,67.47418285172904,2.6329227854097588,-1.0233333333333332,37.60444444444445,12.957295085003146,0.6727607732336911,1.2900374993412396,1
7019X,3,19.763387715930904,13.323271889400923,16.963405797101448,26.18695652173913,21.219047619047615,0.9452975047984645,74.3358925143954,4.231765834932822,-0.7155555555555555,37.63583333333333,12.863684632338208,0.6654149241386879,1.6547488568331243,1
7020C,205,18.86303395399781,12.564855875831485,16.590760869565216,25.997608695652172,20.19010989010989,0.8448452906819635,58.54381161007667,3.846029572836802,-1.1280555555555556,37.8075,13.432752819820687,0.6123954206876983,1.578159724900848,1
7023X,140,19.402190580503834,12.714855875831486,17.176304347826086,26.899130434782606,20.70175824175824,0.7791894852135816,59.823932092004384,2.8780474894261703,-1.1672222222222224,37.72638888888889,14.18427455895112,0.5761579152171743,1.355331802600604,1
7026X,50,18.920986049851095,12.64058823529412,16.88025362318841,26.1440263702253,20.625934065934064,0.9339970134395222,65.29210275046265,2.0450144316466123,-0.9675,37.73888888888889,13.503438134931182,0.659588852789746,1.1135056406076447,1
7031,4,18.597426067907996,12.231929046563192,16.463478260869564,25.42891304347826,20.1578021978022,0.9872672508214677,68.12280395642935,3.1713778732819886,-0.8033333333333333,37.78888888888888,13.196983996915069,0.6867604541839258,1.4282464064797897,1
7031X,4,19.09066265060241,12.684368070953436,16.80804347826087,26.065108695652174,20.697252747252747,1.017196056955093,69.91018619934283,4.3545728368017524,-0.8058333333333334,37.77833333333333,13.380740624698738,0.7017084565065919,1.6779509316800385,1
7066Y,680,17.21699889258029,9.17,15.335978260869567,26.5987556561086,17.965198237885463,0.9828349944629015,56.03986710963455,2.388753943507667,-2.218888888888889,38.39333333333333,17.4287556561086,0.684527636021502,1.220462285535754,4
7067Y,1485,11.536448900388097,4.447058823529412,8.963942307692308,20.16265664160401,11.835360360360362,1.1891332470892626,56.32498072460664,3.277484675227493,-2.4130555555555557,38.08833333333334,15.715597818074597,0.7835056879029786,1.453365144130802,4
7072Y,960,16.097393483709272,8.708854166666667,13.758662280701754,24.6921359223301,16.4405330882353,1.0468170426065164,54.247368421052634,2.6970075708218406,-2.2938888888888886,38.295,15.983281755663432,0.7162859243781354,1.3075237277808645,4
7080X,955,15.404562043795622,8.467804428044278,13.245652173913044,23.711865942028982,16.074542124542127,1.4733120437956204,56.31204379562044,2.879258710138603,-1.986388888888889,38.26833333333333,15.244061513984704,0.9055581608443305,1.355644081294036,4
7096B,605,17.250717905405406,9.804203152364273,14.808727272727271,25.687091503267975,17.931023622047245,0.9389146959459459,55.37014358108108,2.4877744932432435,-1.7030555555555555,38.54194444444444,15.882888350903702,0.6621283814536373,1.2492638517901906,4
